"city","passion","loyalty","basicServ","leadership","education","safety","aesthetic","economy","socialOff","civicInv","openness","socialCap","domains","comOff","comAttach","lat","long","Year"
"Aberdeen, SD",1.45995005901911,3.36001030696333,2.75265734079233,8.63789433336983,1.17203673865313,10.197835786048,-2.27976644358573,-29.5493346850452,2.44215799529897,15.6422438988495,1.14930378395077,3.75313698258373,5.05601086608965,-1.25126492351413,2.37866197418164,45.4647,-98.4861,"2009/2008"
"Akron, OH",-0.471087684637212,2.0182184851171,2.29827136486811,5.01412145897548,3.43145731264711,0.297166951461719,-0.765870166885037,-20.5494636066929,1.46900432822594,14.2265984671243,9.79173745307757,4.41585612720326,6.78933871734806,-0.0388418393867909,0.777238465477367,41.08,-81.52,"2009/2008"
"Biloxi, MS",0.407600307849748,-2.3668583301599,5.28161003207927,-16.7439797069059,5.52097412588724,4.43972906511405,17.1786837097321,-28.8247526699104,-5.81442401287781,4.89152648282538,-7.82333164467816,2.20027603844251,-0.56058296589751,-3.36987916698288,-0.847233880915496,30.41,-88.93,"2009/2008"
"Boulder, CO",-0.101754373930902,3.99119164837627,11.9350460275601,7.04259562891683,-1.86609820047404,-2.42804927474995,-3.314118289791,-17.5452513408545,9.30240467533983,6.81980766669241,3.14517422876422,0.543755932749335,2.33630175526758,-0.869178488675203,1.84563660062813,40.03,-105.25,"2009/2008"
"Bradenton, FL",9.77661368857487,7.70310234870007,8.59283398421465,-6.64169343884419,7.74386507052347,1.22723598260936,7.84795298423676,-22.7803619423787,9.63752835660141,0.7075987902452,8.35028661928968,2.13510416326071,3.34784041492962,3.87551887919409,8.77745283748384,27.49,-82.58,"2009/2008"
"Charlotte, NC",-0.385779281926773,0.38488212828311,5.3654465402942,3.075252725252,4.06095451700182,8.66360074661992,3.41161245239583,-44.0228801496619,-3.89951730316828,8.23225003252092,-5.21285878665577,0.977850859502126,0.531388947167045,-3.31532560840633,-0.0168939557148065,35.2,-80.83,"2009/2008"
"Columbia, SC",-0.942026638413367,1.63676999437942,8.04065517127945,-22.4607138254082,8.00551750520462,0.0956679127799447,-0.672146291232835,-37.1677120740834,-3.03946795687669,10.9409720857281,-5.48972617305076,-5.87118483652964,-1.03514406622308,-4.63838370268383,0.364763562876618,34.04,-80.89,"2009/2008"
"Columbus, GA",2.35957567536185,0.251881180512825,6.67332839092012,25.6404666548596,0.552331116680847,3.50640000078049,0.507476654394011,-22.578368003307,5.01013239861329,12.5026509249279,5.0666199101645,-2.72584750370545,3.69498936843371,1.54008089168663,1.31772629759577,32.51,-84.87,"2009/2008"
"Detroit, MI",3.84854871891463,4.59227759247156,28.993206620041,4.08717698991595,6.67681393401602,8.16208869604698,7.57521033213504,-2.36176401626187,2.48194319640768,7.37126893634903,3.68584173321116,0.382310202916926,4.51916176642438,8.49678239052966,4.2086347639338,42.38,-83.1,"2009/2008"
"Duluth, MN",-2.3094256093981,-4.61633147906866,-1.29314369662913,-19.5460660322507,-9.00266749653571,9.99151870734536,-2.05056111538076,-41.9855223757446,-6.84591887480656,13.2917434135943,-3.54200607522131,0.288215763400018,1.41192636262748,-7.04584564134744,-3.39905238243159,46.78,-92.12,"2009/2008"
"Fort Wayne, IN",2.83632912322511,0.05403293867667,2.38075938267697,-17.1674347344833,-1.38887864698943,4.93814107229041,2.0038183418368,-30.3987744835044,0.253205169399635,25.3345171368922,3.38046316086795,3.07572657528814,6.92947073288886,-3.15343286205739,1.44594998588548,41.07,-85.14,"2009/2008"
"Gary, IN",-6.77409227050458,-3.66744620598229,-6.88404939311475,-15.4413297798032,-3.51080420836256,5.24125266177724,-3.11068957899572,-44.3774906912615,-11.6257783659672,10.6291278016448,-7.40262323792975,1.61529705946415,0.430570932011292,-9.51770537391529,-5.16928940590795,41.6,-87.34,"2009/2008"
"Grand Forks, ND",9.88827407510757,6.60630172152385,17.3968719103612,10.2724052052091,3.0984758443427,5.81519033916713,13.1997415287693,-11.1478488568538,12.336315896455,16.7696942186372,6.57500040436265,-1.12932657020427,6.75628275951507,7.28104871106071,8.27344294022514,47.92,-97.07,"2009/2008"
"Lexington, KY",0.810596889241239,0.868742783588146,12.0100471515878,-15.202120787236,3.34476815531279,-6.98510303770394,3.23783782250437,-24.9514183537428,3.30658602746183,14.0406069119358,6.03078796533347,-1.67345016879794,3.84869751311399,-2.16471934249228,0.838748497950689,38.04,-84.46,"2009/2008"
"Long Beach, CA",1.78987006265719,-1.1794775448025,-0.889389914564745,2.67388860314075,-3.60902177758031,4.29328001811416,-7.07134437482834,-29.3053750259983,-2.77155262028877,3.40393991458956,-6.70202161281746,2.6561707294367,-1.81520058433797,-5.77102367145595,0.344994042598685,33.79,-118.16,"2009/2008"
"Macon, GA",-9.02750410121654,-12.8287557430227,-3.02592480225091,-21.9123573615714,-0.0987310391829368,-7.71873099850977,-14.2207700988416,-28.1753781834461,-10.981720891649,-0.524161450597589,-0.318217392375047,-1.32990806788474,-3.10824090777285,-11.2757057921213,-10.9482007676012,32.84,-83.66,"2009/2008"
"Miami, FL",5.75884436837751,7.70563293329907,2.43329857776631,11.7053581223881,-11.7733762786143,-10.1226344340444,-3.47502764164531,-14.2996846141589,2.55447354014176,10.3332762728184,-2.1296466487107,5.7049445187678,3.02611295863649,-3.7850972079069,6.66951674541664,25.78,-80.21,"2009/2008"
